ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
11240,variable,,"Arreglos de Ropa",1,0,visible,,,,,taxable,,0,,,0,1,,,,,0,,,,"Cursos Almagro, Cursos Almagro > Intensivos",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2024/08/logo-baul-de-moda-circular.gif, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2024/08/contenido-curso-arreglo-de-ropa.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2024/08/moda-sustentable.gif, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2024/08/plus-seminario-moda-sustentable.jpg",,,,,,,,,5,SEMINARIO,"Sábado 25/10",1,0
11025,variation,,"Indumentaria - Jueves 15hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:144,,,,,,5,Turno,"Jueves 15hs",,0
11016,variation,,"Carteras - Sábado 10hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:150,,,,,,5,TURNO,"Sábado 10hs",,0
11012,variation,,"Lencería y Mallas - Jueves 18hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:148,,,,,,5,Turno,"Jueves 18hs",,0
11108,simple,,"Baúl a Puertas Abiertas",'-1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,,,,6,,,,
11024,variation,,"Indumentaria - Jueves 18hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:144,,,,,,6,Turno,"Jueves 18hs",,0
11013,variation,,"Lencería y Mallas - Sábado 10hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:148,,,,,,6,Turno,"Sábado 10hs",,0
11259,variable,,"Taller de Crochet",'-1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,,"Cursos Almagro > Baul a Puertas Abiertas",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2024/09/crochet-330x330-1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2024/09/crochet-330x330-1.jpg",,,,,,,,,7,"TALLER REGULAR","TALLER REGULAR",1,0
11023,variation,,"Indumentaria - Sábado 10hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:144,,,,,,7,Turno,"Sábado 10hs",,0
11110,variable,,"Taller de Bordado",'-1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,,"Cursos Almagro > Baul a Puertas Abiertas",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2024/03/ff7e8295-e049-4e3b-8e6f-eabcc103e0bd.jpeg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2024/03/MEXICNO.jpg",,,,,,,,,8,SEMINARIO,seminario,1,0
11031,variation,,"Indumentaria - Sábado 13hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:144,,,,,,8,Turno,"Sábado 13hs",,0
10833,simple,,"Valijita de Costura en Devoto",'-1,0,visible,,,,,taxable,,0,0,,0,1,,,,,0,,,0,"Baul Rodante",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/08/baul-valijita-producto.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/08/aprender-a-coser-en-4hs.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/08/workshop-de-costura-para-principiantes.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/08/contenido-del-curso-para-aprender-a-coser.jpg",,,,,,,,,9,,,,
10908,simple,,"S.O.S Maquinas al Rescate",'-1,0,visible,,,,,taxable,,1,8,,0,1,,,,,0,,,7000,"Cursos Almagro, Cursos Almagro > Intensivos",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/09/sos-maquinas-de-coser.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/09/sos-maquinas-de-coser.jpg",,,,,,,,,10,,,,
1155,simple,"indumentaria PROMO MARZO-1-1","Pack x3 Indumentaria",1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,89250,127500,"Cursos Online, Cursos Online > En Promo, Cursos Online > Intensivos Indumentaria",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/05/w1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/05/w2.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/05/w3.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/05/w4.jpg",,,,,,,,,11,,,,
10967,simple,"indumentaria PROMO MARZO-1-1-2-1","abc costura con Plus Navidad!",'-1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,30000,"Cursos Online, Cursos Online > Para Comenzar",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/12/producto1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/12/producto1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/12/producto2.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/12/abc-costura-testimonio-330x330-1.jpg",,,,,,,,,12,,,,
11354,simple,"indumentaria PROMO MARZO-1-1-2","abc costura con ""Plus Navidad"" + un Intensivo",'-1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,40875,54500,"Cursos Online, En promo, Cursos Online > Para Comenzar",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/07/abc-costura-oferta-1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/07/abc-indumentaria.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/07/abc-lenceria.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/07/abc-carteras.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/07/abc-mallas.jpg",,,,,,,,,13,,,,
1159,simple,"indumentaria PROMO MARZO-1-1-1","Pack x3 Lenceria",1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,89250,127500,"Cursos Online, Cursos Online > En Promo, Cursos Online > Intensivos Lenceria",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/05/d3.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/05/d4.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/05/d5.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/05/d6.jpg",,,,,,,,,14,,,,
10483,simple,"indumentaria PROMO MARZO-1-1-2","abc costura + un Intensivo",1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,63750,85000,"Cursos Online, Cursos Online > En Promo, Cursos Online > Para Comenzar",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/07/abc-costura-oferta-1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/07/abc-indumentaria.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/07/abc-lenceria.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/07/abc-carteras.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/07/abc-mallas.jpg",,,,,,,,,15,,,,
10278,simple,,"Taller de Bordado",'-1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,0,"Cursos Almagro > Baul a Puertas Abiertas",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/04/la-diosa.png, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/04/la-diosa.png",,,,,,,,,16,Rubro,"14.30hs: abc y carteras, 15.15hs: indumentaria, 16hs: lencería y mallas",1,0
10265,simple,,"Sorteo Aniversario",'-1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,0,2500,"Cursos Online, Cursos Online > En Promo",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/04/77c0d61e-dbf7-4511-b4af-c6757bb13b5e.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/04/77c0d61e-dbf7-4511-b4af-c6757bb13b5e.jpg",,,,,,,,,17,Rubro,"14.30hs: abc y carteras, 15.15hs: indumentaria, 16hs: lencería y mallas",1,0
10275,simple,,"Taller de Calzado",'-1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,0,"Cursos Almagro > Baul a Puertas Abiertas",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/04/matilda-calzado.png, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/04/matilda-calzado.png",,,,,,,,,18,Rubro,"14.30hs: abc y carteras, 15.15hs: indumentaria, 16hs: lencería y mallas",1,0
10071,variable,,"Clase Abierta Fin de Año",'-1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,,"Cursos Online, Cursos Online > En Promo",,,https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/12/2b.jpg,,,,,,,,,19,Rubro,"14.30hs: abc y carteras, 15.15hs: indumentaria, 16hs: lencería y mallas",1,0
10055,simple,"baúl a la carta-1-1","3x2 Baul a la Carta",'-1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,11700,"Cursos Online, Cursos Online > En Promo",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/10/8.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/10/1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/08/baul-a-la-carta-jean.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/08/palca-2.jpg",,,,,,,,,20,"OPCIÓN DE COMPRA","$750 x clase, $1425 pack x2, $2700 pack x4, $4050 pack x6, $5100 pack x8",1,0
10537,simple,"lenceria 2-1","Promo Primavera",'-1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,6700,"Cursos Online, Cursos Online > En Promo",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/09/5450bc57-29f8-454c-9d47-89c9eba4269a.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/09/2x1-en-cursos-de-costura.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2022/09/promo-primavera.jpg",,,,,,,,,21,"OPCIÓN DE COMPRA","$750 x clase, $1425 pack x2, $2700 pack x4, $4050 pack x6, $5100 pack x8",1,0
188,variable,"taller libre corte y confeccion","Taller Libre Corte y Confeccion",'-1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,,"Cursos Online, Cursos Online > para alumnos",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2020/05/indumentaria1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2020/05/WhatsApp-Image-2022-11-28-at-10.44.42-AM.jpeg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2020/05/WhatsApp-Image-2022-11-28-at-10.44.41-AM-1.jpeg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2020/05/WhatsApp-Image-2022-11-28-at-11.49.33-AM-1.jpeg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2020/05/WhatsApp-Image-2022-11-28-at-11.49.34-AM.jpeg",,,,,,,,,22,"OPCIÓN DE COMPRA","x clase, pack x2, pack x3, pack x4",1,0
1037,variable,"indumentaria PROMO MARZO","Promo Marzo Indumentaria Off",'-1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,,"Cursos Online, Cursos Online > Intensivos Indumentaria",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/02/BAUL-330X330.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/02/BAUL-330X330.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/02/BAUL-330X330-b.jpg",,,,,,,,,23,"OPCIÓN DE COMPRA","1 NIVEL $3900, 2 NIVELES $6000, 3 NIVELES $7500",1,0
986,simple,"lenceria 2","Intensivo lenceria nivel 2",1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,42500,"Cursos Online, Cursos Online > Intensivos Lenceria",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/02/lenceria-nivel-2.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/02/1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/02/2.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/02/3-3.jpg",,,,,,,,,24,"OPCIÓN DE COMPRA","$750 x clase, $1425 pack x2, $2700 pack x4, $4050 pack x6, $5100 pack x8",1,0
992,simple,indumentaria-1-1,"Intensivo Indumentaria Nivel 3",1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,42500,"Cursos Online, Cursos Online > Intensivos Indumentaria",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/02/indumentaria-nivel-3.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/02/1-1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/02/2-1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2021/02/3b.jpg",,,,,,,,,25,"OPCIÓN DE COMPRA","$750 x clase, $1425 pack x2, $2700 pack x4, $4050 pack x6, $5100 pack x8",1,0
10857,simple,indumentaria-1-1-1,"Desafio Campera!",'-1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,7500,"Cursos Online, Cursos Online > Intensivos Indumentaria",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/08/producto.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/08/producto.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/08/interno.jpg",,,,,,,,,26,"OPCIÓN DE COMPRA","$750 x clase, $1425 pack x2, $2700 pack x4, $4050 pack x6, $5100 pack x8",1,0
